aircraft_type,count
B738,4625
A320,3803
A20N,2401
A21N,2032
B38M,1742
A321,1591
C172,1060
A319,931
B789,826
B77W,769
P28A,756
B737,717
C208,713
A359,663
A333,653
AT76,615
E75L,610
B763,610
C130,582
TEX2,567
PC12,533
T38,520
B739,513
B752,492
DH8D,474
A332,462
E190,421
C30J,412
K35R,404
BCS3,404
CRJ9,403
B788,385
EC35,372
A139,366
CRJ2,361
E55P,352
C56X,350
AS50,345
C182,340
B77L,328
EC45,318
B190,313
E145,291
DHC6,278
BE40,277
CRJ7,275
C68A,273
B39M,273
SR20,270
BE20,269
B772,261
H60,260
B350,242
CL35,241
C17,239
B733,238
B734,236
CL60,230
AT75,224
A339,208
DA40,205
B744,204
A388,200
PC21,200
PA44,188
GLEX,185
S92,180
DA42,172
A306,167
E75S,166
SF34,160
AJ27,158
E195,156
SU95,156
PC24,156
C25B,152
GLF4,152
B762,149
LJ35,145
E295,143
DH8C,141
DH8A,139
SW4,136
E170,132
EUFI,129
AS65,129
C295,128
NH90,128
H25B,127
B78X,125
B748,125
C750,120
HAWK,118
CL30,117
GLF6,113
A400,112
IL76,110
H47,107
B407,106
E35L,106
C680,103
LJ60,102
BE99,101
GA6C,100
B735,99
GLF5,99
AN32,98
TEST,97
LJ45,97
A35K,97
C402,95
H64,91
E135,91
A109,88
D228,88
DV20,86
C25A,85
C700,85
B712,85
C152,84
AT46,82
GA5C,81
GA7C,80
P208,79
EH10,79
E545,78
F15,77
F100,77
LYNX,77
UH1,76
A169,75
TOR,73
BCS1,70
B412,69
B52,69
MD11,69
E314,69
F16,68
E120,66
PA31,66
F2TH,65
C560,65
FA20,65
GL5T,65
E550,64
BE9L,63
S76,62
DC10,62
AT45,61
C27J,59
MD83,58
C525,58
E45X,58
A343,57
BN2P,57
P3,57
SR22,56
B212,56
A748,54
C510,54
B429,53
P180,53
GLID,53
AT43,53
FA7X,53
BE58,52
EC25,52
C5M,51
GA8C,49
SH36,49
A10,49
G12T,49
DH8B,49
E50P,48
B753,48
E110,48
P28R,48
T206,47
A19N,47
TUCA,47
AT72,47
B505,47
SIRA,47
AT8T,47
EC75,46
E3TF,46
D328,45
F900,45
V22,45
GALX,43
TB20,43
P68,42
CN35,41
GL7T,40
C25C,40
LJ75,39
P06T,39
MD82,39
L410,38
P212,38
PC7,38
B764,37
C550,37
SB05,37
C408,37
EC30,36
B06,36
HDJT,36
BE10,36
B773,36
U2,35
C25M,35
CRJX,34
CL2T,34
F50,34
JS32,34
B732,34
A189,33
MI8,32
AS32,31
T204,31
PA18,30
PA34,30
EC20,30
AC90,29
RJ1H,29
C206,28
AN12,28
M339,28
AC50,28
R44,27
E290,27
R135,26
C82S,26
C55B,26
M346,26
AT73,26
LJ40,25
EC55,25
G115,25
B722,25
A148,25
C150,25
A346,25
TOBA,25
BN2T,24
DA62,24
JS41,24
K35E,24
SF50,23
B1,23
S2T,23
RJ85,23
L188,23
BE4W,22
C207,22
Z42,22
F70,22
GLF3,21
PRM1,21
FA8X,20
GA8,20
DRON,20
C919,20
J328,20
PUMA,20
T154,20
G280,20
PZ3T,19
YK42,19
IL96,19
C650,19
M28,19
CRJ1,19
A310,19
A124,19
P8,18
PC9,18
YK40,18
SNGY,18
MD88,18
A119,18
EXPL,18
B703,18
FA50,18
DC3,18
K100,18
V10,18
AN26,17
CL2P,17
BTB2,16
CRUZ,16
AS55,16
Q4,15
B462,15
C310,15
G2CA,15
DHC2,15
SW3,14
B463,14
W3,14
DC93,13
G150,13
Q9,13
C185,13
E390,13
S61,13
C212,13
IL18,13
CH7A,12
MU2,12
LJ55,12
DH3T,12
B742,12
AMX,12
T134,12
F406,12
BE19,12
PA38,11
DC4,11
PA27,11
HA4T,11
IL62,11
CVLT,11
SB20,11
BE36,11
BE65,11
BE80,11
BL8,10
FA10,10
B105,10
BE76,10
DC91,10
BK17,10
MIR2,9
A338,9
PA32,9
C404,9
AN72,9
PIVI,9
L39,9
TRIS,8
A318,8
JS31,8
LJ31,8
F35,8
0,8
F18H,8
C501,8
EN48,8
C340,7
DC6,7
LJ70,7
A337,7
BE23,7
S22T,7
LAMA,7
H53,7
ASTR,7
BER2,7
C135,7
BE55,7
BE33,6
C162,6
BE30,6
A30B,6
DC87,6
SLG2,6
C180,6
R66,6
C82R,6
D140,6
EA50,6
H500,6
C210,6
AC6L,6
H25C,6
TBM7,6
TWEN,6
WW24,6
B736,5
E300,5
A210,5
XL2,5
B779,5
M600,5
R22,5
SB39,5
CP10,5
C46,5
CVLP,5
CL41,5
AS21,5
AEST,5
L159,5
A3ST,5
H160,5
C425,4
M345,4
P28T,4
T214,4
AJET,4
A158,4
BT7,4
PA30,4
MG29,4
C441,4
A140,4
B430,4
BLCF,4
H269,4
AN24,4
F28,4
P32R,4
P28S,4
A342,4
DHC7,4
S2P,4
TBM9,4
MA60,4
AT44,4
E3CF,4
SC7,4
F18,4
GAZL,4
W135,3
FBA2,3
T34T,3
PC6T,3
P28U,3
AC95,3
B26,3
ECHO,3
M7,3
COUR,3
F60,3
ALO3,3
BR23,3
A345,3
BE18,3
DH2T,3
B222,3
B58T,3
MD90,3
B3XM,3
BE9T,3
MD81,3
MD87,3
C72R,3
P46T,3
GA7,3
C141,3
SBR1,2
AT3T,2
B37M,2
WB57,2
TBM8,2
PA46,2
DC3T,2
C414,2
T34P,2
C421,2
B461,2
PAY1,2
MD60,2
AA5,2
T33,2
LCA,2
ZZZZ,2
BALL,2
AN30,2
R722,2
C77R,2
DG1T,2
F27,2
PAY2,2
PAT4,2
AN28,2
MI26,2
P3C,2
Z43,2
T6,1
SHIP,1
H46,1
COL3,1
SGUP,1
ARVA,1
PA23,1
WACO,1
P32T,1
VR7,1
C551,1
R200,1
GRND,1
DIMO,1
E275,1
PA22,1
BDOG,1
Q25,1
UH12,1
SVNH,1
TB21,1
S330,1
GA4C,1
B06T,1
A313,1
RFAL,1
COL4,1
ER4,1
PIVE,1
RV7,1
CH53,1
K900,1
E737,1
PISI,1
M20P,1
GB1,1
M20T,1
B743,1
TIGR,1
MH90,1
BE60,1
AC68,1
L8,1
P28B,1
FA6X,1
C177,1
C500,1
DHC3,1
Z50,1
F104,1
HR20,1
PTS2,1
PA25,1
M5,1
PA24,1
SH33,1
LJ28,1
CH7B,1
BE95,1
AN2,1
SS2T,1
G21,1
M700,1
WACF,1
HUSK,1
F260,1
SKAR,1
RJ70,1
TAMP,1
A178,1
C5,1
F5,1
AN22,1
BE24,1
J3,1
C337,1
AS3B,1
C82T,1
LA4,1
KA27,1
T210,1
