aircraft_type,rows,model_name,manufacturer,entry_year,source,has_model_name,has_entry_year,share_rows,guess_category,suggested_action
EC25,52,,,,,False,False,0.000936363308963878,helicopter,LOW/MED: optional (non-core) — can ignore or map later
V22,45,,,,,False,False,0.0008103144019879714,unknown,MED: need model_name to scrape entry_year
TB20,43,,,,,False,False,0.0007743004285662837,unknown,MED: need model_name to scrape entry_year
CN35,41,,,,,False,False,0.0007382864551445961,unknown,MED: need model_name to scrape entry_year
LJ75,39,,,,,False,False,0.0007022724817229085,unknown,MED: need model_name to scrape entry_year
P06T,39,,,,,False,False,0.0007022724817229085,unknown,MED: need model_name to scrape entry_year
C408,37,,,,,False,False,0.0006662585083012209,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
SB05,37,,,,,False,False,0.0006662585083012209,unknown,MED: need model_name to scrape entry_year
B06,36,,,,,False,False,0.0006482515215903771,unknown,MED: need model_name to scrape entry_year
BE10,36,,,,,False,False,0.0006482515215903771,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
EC30,36,,,,,False,False,0.0006482515215903771,helicopter,LOW/MED: optional (non-core) — can ignore or map later
HDJT,36,,,,,False,False,0.0006482515215903771,unknown,MED: need model_name to scrape entry_year
U2,35,,,,,False,False,0.0006302445348795332,unknown,MED: need model_name to scrape entry_year
K35E,24,,,,,False,False,0.0004321676810602514,unknown,MED: need model_name to scrape entry_year
S2T,23,,,,,False,False,0.00041416069434940757,unknown,MED: need model_name to scrape entry_year
PUMA,20,,,,,False,False,0.00036013973421687614,unknown,MED: need model_name to scrape entry_year
M28,19,,,,,False,False,0.0003421327475060323,unknown,MED: need model_name to scrape entry_year
PZ3T,19,,,,,False,False,0.0003421327475060323,unknown,MED: need model_name to scrape entry_year
A119,18,,,,,False,False,0.00032412576079518854,unknown,MED: need model_name to scrape entry_year
K100,18,,,,,False,False,0.00032412576079518854,unknown,MED: need model_name to scrape entry_year
SW3,14,,,,,False,False,0.0002520978139518133,unknown,MED: need model_name to scrape entry_year
W3,14,,,,,False,False,0.0002520978139518133,unknown,MED: need model_name to scrape entry_year
C185,13,,,,,False,False,0.0002340908272409695,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
C212,13,,,,,False,False,0.0002340908272409695,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
Q9,13,,,,,False,False,0.0002340908272409695,unknown,MED: need model_name to scrape entry_year
BE19,12,,,,,False,False,0.0002160838405301257,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
DH3T,12,,,,,False,False,0.0002160838405301257,unknown,MED: need model_name to scrape entry_year
F406,12,,,,,False,False,0.0002160838405301257,military_or_special,LOW/MED: optional (non-core) — can ignore or map later
LJ55,12,,,,,False,False,0.0002160838405301257,unknown,MED: need model_name to scrape entry_year
MU2,12,,,,,False,False,0.0002160838405301257,unknown,MED: need model_name to scrape entry_year
CVLT,11,,,,,False,False,0.00019807685381928187,unknown,MED: need model_name to scrape entry_year
HA4T,11,,,,,False,False,0.00019807685381928187,unknown,MED: need model_name to scrape entry_year
PA27,11,,,,,False,False,0.00019807685381928187,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
B105,10,,,,,False,False,0.00018006986710843807,unknown,MED: need model_name to scrape entry_year
BK17,10,,,,,False,False,0.00018006986710843807,unknown,MED: need model_name to scrape entry_year
BL8,10,,,,,False,False,0.00018006986710843807,unknown,MED: need model_name to scrape entry_year
C404,9,,,,,False,False,0.00016206288039759427,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
MIR2,9,,,,,False,False,0.00016206288039759427,unknown,MED: need model_name to scrape entry_year
PA32,9,,,,,False,False,0.00016206288039759427,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
0,8,,,,,False,False,0.00014405589368675045,unknown,MED: need model_name to scrape entry_year
C501,8,,,,,False,False,0.00014405589368675045,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
LJ31,8,,,,,False,False,0.00014405589368675045,unknown,MED: need model_name to scrape entry_year
ASTR,7,,,,,False,False,0.00012604890697590665,unknown,MED: need model_name to scrape entry_year
BE23,7,,,,,False,False,0.00012604890697590665,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
BER2,7,,,,,False,False,0.00012604890697590665,unknown,MED: need model_name to scrape entry_year
C340,7,,,,,False,False,0.00012604890697590665,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
H53,7,,,,,False,False,0.00012604890697590665,helicopter,LOW/MED: optional (non-core) — can ignore or map later
LAMA,7,,,,,False,False,0.00012604890697590665,unknown,MED: need model_name to scrape entry_year
LJ70,7,,,,,False,False,0.00012604890697590665,unknown,MED: need model_name to scrape entry_year
S22T,7,,,,,False,False,0.00012604890697590665,unknown,MED: need model_name to scrape entry_year
AC6L,6,,,,,False,False,0.00010804192026506285,unknown,MED: need model_name to scrape entry_year
BE30,6,,,,,False,False,0.00010804192026506285,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
BE33,6,,,,,False,False,0.00010804192026506285,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
C162,6,,,,,False,False,0.00010804192026506285,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
C180,6,,,,,False,False,0.00010804192026506285,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
C82R,6,,,,,False,False,0.00010804192026506285,unknown,MED: need model_name to scrape entry_year
D140,6,,,,,False,False,0.00010804192026506285,unknown,MED: need model_name to scrape entry_year
EA50,6,,,,,False,False,0.00010804192026506285,unknown,MED: need model_name to scrape entry_year
H500,6,,,,,False,False,0.00010804192026506285,helicopter,LOW/MED: optional (non-core) — can ignore or map later
SLG2,6,,,,,False,False,0.00010804192026506285,unknown,MED: need model_name to scrape entry_year
TBM7,6,,,,,False,False,0.00010804192026506285,unknown,MED: need model_name to scrape entry_year
TWEN,6,,,,,False,False,0.00010804192026506285,unknown,MED: need model_name to scrape entry_year
A210,5,,,,,False,False,9.003493355421904e-05,unknown,MED: need model_name to scrape entry_year
AEST,5,,,,,False,False,9.003493355421904e-05,unknown,MED: need model_name to scrape entry_year
AS21,5,,,,,False,False,9.003493355421904e-05,helicopter,LOW/MED: optional (non-core) — can ignore or map later
CL41,5,,,,,False,False,9.003493355421904e-05,unknown,MED: need model_name to scrape entry_year
CP10,5,,,,,False,False,9.003493355421904e-05,unknown,MED: need model_name to scrape entry_year
CVLP,5,,,,,False,False,9.003493355421904e-05,unknown,MED: need model_name to scrape entry_year
H160,5,,,,,False,False,9.003493355421904e-05,helicopter,LOW/MED: optional (non-core) — can ignore or map later
L159,5,,,,,False,False,9.003493355421904e-05,unknown,MED: need model_name to scrape entry_year
M600,5,,,,,False,False,9.003493355421904e-05,unknown,MED: need model_name to scrape entry_year
R22,5,,,,,False,False,9.003493355421904e-05,unknown,MED: need model_name to scrape entry_year
SB39,5,,,,,False,False,9.003493355421904e-05,unknown,MED: need model_name to scrape entry_year
XL2,5,,,,,False,False,9.003493355421904e-05,unknown,MED: need model_name to scrape entry_year
AT44,4,,,,,False,False,7.202794684337522e-05,airliner_or_regional,MED: need model_name to scrape entry_year
B430,4,,,,,False,False,7.202794684337522e-05,unknown,MED: need model_name to scrape entry_year
BT7,4,,,,,False,False,7.202794684337522e-05,unknown,MED: need model_name to scrape entry_year
C425,4,,,,,False,False,7.202794684337522e-05,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
C441,4,,,,,False,False,7.202794684337522e-05,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
GAZL,4,,,,,False,False,7.202794684337522e-05,unknown,MED: need model_name to scrape entry_year
H269,4,,,,,False,False,7.202794684337522e-05,helicopter,LOW/MED: optional (non-core) — can ignore or map later
M345,4,,,,,False,False,7.202794684337522e-05,unknown,MED: need model_name to scrape entry_year
MA60,4,,,,,False,False,7.202794684337522e-05,unknown,MED: need model_name to scrape entry_year
MG29,4,,,,,False,False,7.202794684337522e-05,unknown,MED: need model_name to scrape entry_year
P28S,4,,,,,False,False,7.202794684337522e-05,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
P32R,4,,,,,False,False,7.202794684337522e-05,unknown,MED: need model_name to scrape entry_year
PA30,4,,,,,False,False,7.202794684337522e-05,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
S2P,4,,,,,False,False,7.202794684337522e-05,unknown,MED: need model_name to scrape entry_year
T214,4,,,,,False,False,7.202794684337522e-05,unknown,MED: need model_name to scrape entry_year
TBM9,4,,,,,False,False,7.202794684337522e-05,unknown,MED: need model_name to scrape entry_year
AC95,3,,,,,False,False,5.4020960132531424e-05,unknown,MED: need model_name to scrape entry_year
ALO3,3,,,,,False,False,5.4020960132531424e-05,unknown,MED: need model_name to scrape entry_year
B222,3,,,,,False,False,5.4020960132531424e-05,unknown,MED: need model_name to scrape entry_year
B26,3,,,,,False,False,5.4020960132531424e-05,unknown,MED: need model_name to scrape entry_year
B3XM,3,,,,,False,False,5.4020960132531424e-05,unknown,MED: need model_name to scrape entry_year
B58T,3,,,,,False,False,5.4020960132531424e-05,unknown,MED: need model_name to scrape entry_year
BE18,3,,,,,False,False,5.4020960132531424e-05,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
BE9T,3,,,,,False,False,5.4020960132531424e-05,unknown,MED: need model_name to scrape entry_year
BR23,3,,,,,False,False,5.4020960132531424e-05,unknown,MED: need model_name to scrape entry_year
C72R,3,,,,,False,False,5.4020960132531424e-05,unknown,MED: need model_name to scrape entry_year
COUR,3,,,,,False,False,5.4020960132531424e-05,unknown,MED: need model_name to scrape entry_year
ECHO,3,,,,,False,False,5.4020960132531424e-05,unknown,MED: need model_name to scrape entry_year
F60,3,,,,,False,False,5.4020960132531424e-05,military_or_special,LOW/MED: optional (non-core) — can ignore or map later
FBA2,3,,,,,False,False,5.4020960132531424e-05,unknown,MED: need model_name to scrape entry_year
GA7,3,,,,,False,False,5.4020960132531424e-05,unknown,MED: need model_name to scrape entry_year
M7,3,,,,,False,False,5.4020960132531424e-05,unknown,MED: need model_name to scrape entry_year
P28U,3,,,,,False,False,5.4020960132531424e-05,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
P46T,3,,,,,False,False,5.4020960132531424e-05,unknown,MED: need model_name to scrape entry_year
W135,3,,,,,False,False,5.4020960132531424e-05,unknown,MED: need model_name to scrape entry_year
AA5,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
AT3T,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
BALL,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
C414,2,,,,,False,False,3.601397342168761e-05,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
C421,2,,,,,False,False,3.601397342168761e-05,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
C77R,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
DC3T,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
DG1T,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
LCA,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
MD60,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
PAT4,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
PAY1,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
PAY2,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
R722,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
SBR1,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
T33,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
T34P,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
TBM8,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
WB57,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
Z43,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
ZZZZ,2,,,,,False,False,3.601397342168761e-05,unknown,MED: need model_name to scrape entry_year
A178,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
A313,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
AN2,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
AN22,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
ARVA,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
AS3B,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
B06T,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
BDOG,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
BE24,1,,,,,False,False,1.8006986710843806e-05,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
BE60,1,,,,,False,False,1.8006986710843806e-05,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
BE95,1,,,,,False,False,1.8006986710843806e-05,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
C337,1,,,,,False,False,1.8006986710843806e-05,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
C5,1,,,,,False,False,1.8006986710843806e-05,military_or_special,LOW/MED: optional (non-core) — can ignore or map later
C551,1,,,,,False,False,1.8006986710843806e-05,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
C82T,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
CH53,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
CH7B,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
COL3,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
COL4,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
DIMO,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
E275,1,,,,,False,False,1.8006986710843806e-05,airliner_or_regional,MED: need model_name to scrape entry_year
E737,1,,,,,False,False,1.8006986710843806e-05,airliner_or_regional,MED: need model_name to scrape entry_year
ER4,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
F104,1,,,,,False,False,1.8006986710843806e-05,military_or_special,LOW/MED: optional (non-core) — can ignore or map later
F260,1,,,,,False,False,1.8006986710843806e-05,military_or_special,LOW/MED: optional (non-core) — can ignore or map later
F5,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
G21,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
GA4C,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
GB1,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
GRND,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
H46,1,,,,,False,False,1.8006986710843806e-05,helicopter,LOW/MED: optional (non-core) — can ignore or map later
HR20,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
HUSK,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
J3,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
K900,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
KA27,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
L8,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
LA4,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
LJ28,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
M20P,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
M20T,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
M5,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
M700,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
MH90,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
P32T,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
PA22,1,,,,,False,False,1.8006986710843806e-05,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
PA23,1,,,,,False,False,1.8006986710843806e-05,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
PA24,1,,,,,False,False,1.8006986710843806e-05,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
PA25,1,,,,,False,False,1.8006986710843806e-05,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
PISI,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
PIVE,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
PTS2,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
Q25,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
R200,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
RFAL,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
RV7,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
S330,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
SGUP,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
SHIP,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
SKAR,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
SS2T,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
SVNH,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
T210,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
TAMP,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
TB21,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
TIGR,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
UH12,1,,,,,False,False,1.8006986710843806e-05,helicopter,LOW/MED: optional (non-core) — can ignore or map later
VR7,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
WACF,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
WACO,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
Z50,1,,,,,False,False,1.8006986710843806e-05,unknown,MED: need model_name to scrape entry_year
